"","employees","starting_salaries","salary_adjustments","salaries_2018","raises"
"1","Employee 1",40280.5039519444,-299,39981.5039519444,FALSE
"2","Employee 2",43022.0261169598,-457,42565.0261169598,FALSE
"3","Employee 3",40172.8742523119,4362,44534.8742523119,TRUE
"4","Employee 4",40050.6037659943,-2916,37134.6037659943,FALSE
"5","Employee 5",46351.7257617787,-3983,42368.7257617787,FALSE
"6","Employee 6",47249.9042795971,3732,50981.9042795971,TRUE
"7","Employee 7",42937.7211886458,8727,51664.7211886458,TRUE
"8","Employee 8",49488.760905806,6705,56193.760905806,TRUE
"9","Employee 9",43189.4334848039,-4197,38992.4334848039,FALSE
"10","Employee 10",47522.1389369108,2017,49539.1389369108,TRUE
"11","Employee 11",42840.1127224788,6123,48963.1127224788,TRUE
"12","Employee 12",41032.3443310335,7111,48143.3443310335,TRUE
"13","Employee 13",41095.6556815654,-3478,37617.6556815654,FALSE
"14","Employee 14",49257.5687193312,-3030,46227.5687193312,FALSE
"15","Employee 15",47633.2211261615,9818,57451.2211261615,TRUE
"16","Employee 16",44560.8614641242,-1170,43390.8614641242,FALSE
"17","Employee 17",46539.9819961749,-3425,43114.9819961749,FALSE
"18","Employee 18",41816.7851446196,1993,43809.7851446196,TRUE
"19","Employee 19",41554.0850698017,1020,42574.0850698017,TRUE
"20","Employee 20",49695.323780179,2749,52444.323780179,TRUE
"21","Employee 21",49290.3277208097,7104,56394.3277208097,TRUE
"22","Employee 22",48674.7902468778,-3208,45466.7902468778,FALSE
"23","Employee 23",41683.7398358621,6117,47800.7398358621,TRUE
"24","Employee 24",45545.1544048265,-431,45114.1544048265,FALSE
"25","Employee 25",46626.0254546069,-1476,45150.0254546069,FALSE
"26","Employee 26",40916.488498915,5021,45937.488498915,TRUE
"27","Employee 27",44310.1161788218,4939,49249.1161788218,TRUE
"28","Employee 28",41190.7021468505,1186,42376.7021468505,TRUE
"29","Employee 29",43683.1945623271,-3839,39844.1945623271,FALSE
"30","Employee 30",43083.7349151261,-1493,41590.7349151261,FALSE
"31","Employee 31",41181.5684428439,1439,42620.5684428439,TRUE
"32","Employee 32",40038.9369111508,-3791,36247.9369111508,FALSE
"33","Employee 33",49748.5356871039,1788,51536.5356871039,TRUE
"34","Employee 34",46045.4594693147,2442,48487.4594693147,TRUE
"35","Employee 35",43878.734537866,4558,48436.734537866,TRUE
"36","Employee 36",45948.6510208808,7677,53625.6510208808,TRUE
"37","Employee 37",41649.8670913279,-3483,38166.8670913279,FALSE
"38","Employee 38",48827.7213205583,2922,51749.7213205583,TRUE
"39","Employee 39",42200.4695562646,643,42843.4695562646,TRUE
"40","Employee 40",45281.5859788097,9538,54819.5859788097,TRUE
"41","Employee 41",47206.4074431546,5151,52357.4074431546,TRUE
"42","Employee 42",49703.2102011144,7545,57248.2102011144,TRUE
"43","Employee 43",46487.0730158873,3050,49537.0730158873,TRUE
"44","Employee 44",46578.5190043971,5744,52322.5190043971,TRUE
"45","Employee 45",49156.0926707461,8708,57864.0926707461,TRUE
"46","Employee 46",41015.8624709584,-4227,36788.8624709584,FALSE
"47","Employee 47",48006.5601016395,7155,55161.5601016395,TRUE
"48","Employee 48",43081.0997006483,4978,48059.0997006483,TRUE
"49","Employee 49",40916.6884724982,5555,46471.6884724982,TRUE
"50","Employee 50",42598.8813792355,233,42831.8813792355,TRUE
"51","Employee 51",49678.5187954083,7102,56780.5187954083,TRUE
"52","Employee 52",49024.4101802818,4116,53140.4101802818,TRUE
"53","Employee 53",40474.97124644,2351,42825.97124644,TRUE
"54","Employee 54",47512.6369507052,-2008,45504.6369507052,FALSE
"55","Employee 55",46591.6466503404,5045,51636.6466503404,TRUE
"56","Employee 56",44606.0297102667,708,45314.0297102667,TRUE
"57","Employee 57",40334.2428104952,-57,40277.2428104952,FALSE
"58","Employee 58",45806.9971832447,5419,51225.9971832447,TRUE
"59","Employee 59",40046.0795545951,-4007,36039.0795545951,FALSE
"60","Employee 60",48682.4749386869,3750,52432.4749386869,TRUE
"61","Employee 61",48272.8612958454,-2637,45635.8612958454,FALSE
"62","Employee 62",40610.925371293,853,41463.925371293,TRUE
"63","Employee 63",47358.1165494397,5447,52805.1165494397,TRUE
"64","Employee 64",47197.9676280171,6941,54138.9676280171,TRUE
"65","Employee 65",42449.6137024835,-1867,40582.6137024835,FALSE
"66","Employee 66",47792.9815975949,2614,50406.9815975949,TRUE
"67","Employee 67",40615.5392946675,4450,45065.5392946675,TRUE
